Name,FullName,Extension,CreationTime
_האזעקה_בשידור_חי_בערוץ_14.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_האזעקה_בשידור_חי_בערוץ_14.mp4,.mp4,7/30/2024 1:24:47 AM
_ארה__ב_תוקפת_סירות_של_חות_ים___10_נהרגו.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_ארה__ב_תוקפת_סירות_של_חות_ים___10_נהרגו.mp4,.mp4,7/30/2024 1:02:16 AM
_המשפיע_רבי_מיילך_בידרמן_והאדמור_מפינסק_קרלין_והגהצ_רבי_יעקב_מאיר_שכטר.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_המשפיע_רבי_מיילך_בידרמן_והאדמור_מפינסק_קרלין_והגהצ_רבי_יעקב_מאיר_שכטר.mp4,.mp4,7/30/2024 1:25:24 AM
_מאות_בציונו_של_הבני_יששכר_מדינוב_בפולין_לרגל_יום_ההילולא_שחל_בשבת.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_מאות_בציונו_של_הבני_יששכר_מדינוב_בפולין_לרגל_יום_ההילולא_שחל_בשבת.mp4,.mp4,7/30/2024 1:03:18 AM
_2_3_פוצץ.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_2_3_פוצץ.mp4,.mp4,7/30/2024 1:01:38 AM
_עבודה_ערבית.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_עבודה_ערבית.mp4,.mp4,7/30/2024 1:02:58 AM
_קושמרו_עונה_להנדסת_התודעה_של_גיא_פלג.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_קושמרו_עונה_להנדסת_התודעה_של_גיא_פלג.mp4,.mp4,7/30/2024 1:29:55 AM
_לא_לבעלי_לב_חלש___מחבלים_מתעדים_את_עצמם_יורים_על_טנקים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_לא_לבעלי_לב_חלש___מחבלים_מתעדים_את_עצמם_יורים_על_טנקים.mp4,.mp4,7/30/2024 1:03:06 AM
_הפצצה_יפה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_הפצצה_יפה.mp4,.mp4,7/30/2024 1:26:30 AM
_הנגיד_על_הפחתת_הריבית.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\993\_הנגיד_על_הפחתת_הריבית.mp4,.mp4,7/30/2024 1:25:52 AM
